Date,Open,High,Low,Close
7/29/2019,2.00%,2.01%,1.98%,2.00%
7/30/2019,2.00%,2.01%,1.98%,1.99%
7/31/2019,1.99%,2.01%,1.96%,2.01%
8/1/2019,2.01%,2.02%,1.89%,1.92%
8/2/2019,1.92%,1.92%,1.86%,1.87%
8/5/2019,1.87%,1.89%,1.76%,1.80%
8/6/2019,1.80%,1.85%,1.79%,1.82%
8/7/2019,1.82%,1.83%,1.75%,1.79%
8/8/2019,1.79%,1.82%,1.77%,1.80%
8/9/2019,1.80%,1.82%,1.78%,1.81%
8/12/2019,1.81%,1.81%,1.76%,1.78%
8/13/2019,1.78%,1.88%,1.77%,1.87%
8/14/2019,1.87%,1.87%,1.79%,1.80%
8/15/2019,1.80%,1.80%,1.71%,1.72%
8/16/2019,1.72%,1.75%,1.70%,1.72%
8/19/2019,1.72%,1.76%,1.71%,1.76%
8/20/2019,1.76%,1.76%,1.72%,1.74%
8/21/2019,1.74%,1.79%,1.73%,1.79%
8/22/2019,1.79%,1.81%,1.77%,1.80%
8/23/2019,1.80%,1.81%,1.73%,1.74%
8/26/2019,1.74%,1.77%,1.73%,1.76%
8/27/2019,1.76%,1.78%,1.75%,1.77%
8/28/2019,1.77%,1.77%,1.75%,1.76%
8/29/2019,1.76%,1.79%,1.75%,1.77%
8/30/2019,1.77%,1.93%,1.77%,1.78%
9/1/2019,1.78%,1.78%,1.78%,1.78%
9/3/2019,1.78%,1.79%,1.73%,1.75%
9/4/2019,1.75%,1.75%,1.70%,1.70%
9/5/2019,1.70%,1.78%,1.65%,1.76%
9/6/2019,1.71%,1.77%,1.71%,1.75%
9/9/2019,1.75%,1.78%,1.75%,1.78%
9/10/2019,1.78%,1.83%,1.77%,1.83%
9/11/2019,1.83%,1.83%,1.79%,1.80%
9/12/2019,1.80%,1.84%,1.78%,1.84%
9/13/2019,1.84%,1.89%,1.82%,1.88%
9/16/2019,1.88%,1.89%,1.84%,1.87%
9/17/2019,1.87%,1.89%,1.85%,1.86%
9/18/2019,1.88%,1.88%,1.82%,1.87%
9/19/2019,1.87%,1.90%,1.85%,1.90%
9/20/2019,1.90%,1.91%,1.84%,1.84%
9/23/2019,1.84%,1.86%,1.80%,1.82%
9/24/2019,1.82%,1.83%,1.79%,1.80%
9/25/2019,1.80%,1.84%,1.80%,1.83%
9/26/2019,1.83%,1.83%,1.78%,1.80%
9/27/2019,1.80%,1.81%,1.76%,1.78%
9/30/2019,1.78%,1.78%,1.76%,1.77%
10/1/2019,1.77%,1.79%,1.72%,1.73%
10/2/2019,1.73%,1.74%,1.68%,1.68%
10/3/2019,1.68%,1.74%,1.60%,1.61%
10/4/2019,1.61%,1.65%,1.59%,1.60%
10/7/2019,1.60%,1.67%,1.59%,1.66%
10/8/2019,1.66%,1.67%,1.61%,1.62%
10/9/2019,1.62%,1.62%,1.59%,1.60%
10/10/2019,1.60%,1.64%,1.58%,1.63%
10/11/2019,1.63%,1.70%,1.62%,1.66%
10/13/2019,1.66%,1.66%,1.66%,1.66%
10/15/2019,1.66%,1.67%,1.61%,1.65%
10/16/2019,1.65%,1.65%,1.59%,1.60%
10/17/2019,1.60%,1.61%,1.58%,1.60%
10/18/2019,1.60%,1.61%,1.57%,1.58%
10/21/2019,1.58%,1.61%,1.57%,1.60%
10/22/2019,1.60%,1.60%,1.57%,1.60%
10/23/2019,1.60%,1.60%,1.57%,1.60%
10/24/2019,1.60%,1.61%,1.58%,1.60%
10/25/2019,1.60%,1.62%,1.59%,1.61%
10/28/2019,1.61%,1.63%,1.60%,1.61%
10/29/2019,1.61%,1.62%,1.58%,1.60%
10/30/2019,1.60%,1.61%,1.57%,1.58%
10/31/2019,1.58%,1.60%,1.52%,1.52%
11/1/2019,1.52%,1.57%,1.51%,1.53%
11/4/2019,1.53%,1.58%,1.53%,1.57%
11/5/2019,1.53%,1.62%,1.53%,1.61%
11/6/2019,1.61%,1.63%,1.58%,1.59%
11/7/2019,1.59%,1.62%,1.58%,1.59%
11/8/2019,1.59%,1.60%,1.56%,1.59%
11/10/2019,1.59%,1.59%,1.59%,1.59%
11/12/2019,1.59%,1.61%,1.58%,1.59%
11/13/2019,1.59%,1.60%,1.56%,1.58%
11/14/2019,1.58%,1.58%,1.54%,1.56%
11/15/2019,1.56%,1.56%,1.55%,1.55%
11/18/2019,1.55%,1.57%,1.54%,1.55%
11/19/2019,1.55%,1.57%,1.54%,1.55%
11/20/2019,1.55%,1.55%,1.52%,1.54%
11/21/2019,1.54%,1.57%,1.53%,1.56%
11/22/2019,1.56%,1.58%,1.55%,1.57%
11/25/2019,1.57%,1.61%,1.56%,1.59%
11/26/2019,1.59%,1.60%,1.57%,1.59%
11/27/2019,1.59%,1.62%,1.58%,1.60%
11/29/2019,1.60%,1.61%,1.59%,1.60%
12/2/2019,1.60%,1.62%,1.59%,1.60%
12/3/2019,1.60%,1.61%,1.56%,1.57%
12/4/2019,1.57%,1.59%,1.56%,1.57%
12/5/2019,1.57%,1.58%,1.56%,1.57%
12/6/2019,1.57%,1.60%,1.53%,1.57%
12/9/2019,1.57%,1.58%,1.55%,1.56%
12/10/2019,1.56%,1.58%,1.55%,1.57%
12/11/2019,1.57%,1.58%,1.55%,1.56%
12/12/2019,1.56%,1.60%,1.55%,1.56%
12/13/2019,1.56%,1.58%,1.53%,1.54%
12/16/2019,1.54%,1.56%,1.53%,1.54%
12/17/2019,1.54%,1.56%,1.52%,1.55%
12/18/2019,1.55%,1.57%,1.52%,1.53%
12/19/2019,1.53%,1.56%,1.51%,1.53%
12/20/2019,1.53%,1.56%,1.52%,1.53%
12/23/2019,1.53%,1.55%,1.52%,1.54%
12/24/2019,1.53%,1.57%,1.53%,1.53%
12/26/2019,1.53%,1.56%,1.53%,1.53%
12/27/2019,1.53%,1.54%,1.50%,1.52%
12/30/2019,1.52%,1.54%,1.51%,1.52%
12/31/2019,1.52%,1.59%,1.51%,1.58%
1/2/2020,1.58%,1.66%,1.56%,1.66%
1/3/2020,1.66%,1.66%,1.52%,1.55%
1/6/2020,1.55%,1.57%,1.54%,1.55%
1/7/2020,1.55%,1.56%,1.53%,1.54%
1/8/2020,1.54%,1.56%,1.49%,1.55%
1/9/2020,1.55%,1.56%,1.54%,1.55%
1/10/2020,1.55%,1.55%,1.52%,1.54%
1/13/2020,1.54%,1.55%,1.53%,1.54%
1/14/2020,1.54%,1.55%,1.52%,1.54%
1/15/2020,1.54%,1.56%,1.53%,1.55%
1/16/2020,1.55%,1.57%,1.54%,1.56%
1/17/2020,1.56%,1.57%,1.54%,1.56%
1/20/2020,1.56%,1.56%,1.56%,1.56%
1/21/2020,1.56%,1.57%,1.54%,1.55%
1/22/2020,1.55%,1.56%,1.53%,1.55%
1/23/2020,1.55%,1.57%,1.53%,1.56%
1/24/2020,1.56%,1.57%,1.53%,1.55%
1/27/2020,1.55%,1.55%,1.51%,1.54%
1/28/2020,1.54%,1.57%,1.53%,1.55%
1/29/2020,1.55%,1.55%,1.50%,1.51%
1/30/2020,1.54%,1.54%,1.47%,1.49%
1/31/2020,1.49%,1.51%,1.45%,1.45%
2/3/2020,1.45%,1.48%,1.44%,1.47%
2/4/2020,1.47%,1.50%,1.46%,1.49%
2/5/2020,1.49%,1.51%,1.44%,1.50%
2/6/2020,1.50%,1.52%,1.49%,1.51%
2/7/2020,1.51%,1.51%,1.48%,1.49%
2/10/2020,1.49%,1.49%,1.46%,1.48%
2/11/2020,1.48%,1.50%,1.47%,1.49%
2/12/2020,1.49%,1.51%,1.48%,1.50%
2/13/2020,1.50%,1.51%,1.48%,1.50%
2/14/2020,1.50%,1.50%,1.47%,1.49%
2/16/2020,1.49%,1.49%,1.49%,1.49%
2/18/2020,1.49%,1.50%,1.47%,1.48%
2/19/2020,1.48%,1.50%,1.47%,1.49%
2/20/2020,1.49%,1.50%,1.46%,1.47%
2/21/2020,1.47%,1.48%,1.43%,1.44%
2/24/2020,1.44%,1.44%,1.31%,1.32%
2/25/2020,1.36%,1.37%,1.26%,1.33%
2/26/2020,1.33%,1.33%,1.26%,1.27%
2/27/2020,1.27%,1.31%,1.13%,1.27%
2/28/2020,1.16%,1.18%,0.97%,1.02%
3/2/2020,1.02%,1.02%,0.79%,0.94%
3/3/2020,0.94%,0.94%,0.55%,0.71%
3/4/2020,0.71%,0.72%,0.56%,0.59%
3/5/2020,0.59%,0.60%,0.46%,0.48%
3/6/2020,0.49%,0.50%,0.32%,0.39%
3/9/2020,0.39%,0.41%,0.19%,0.34%
3/10/2020,0.30%,0.45%,0.30%,0.45%
3/11/2020,0.41%,0.51%,0.34%,0.38%
3/12/2020,0.37%,0.38%,0.28%,0.38%
3/13/2020,0.34%,0.40%,0.31%,0.37%
3/16/2020,0.37%,0.37%,0.13%,0.26%
3/17/2020,0.26%,0.29%,0.23%,0.26%
3/18/2020,0.26%,0.28%,0.15%,0.18%
3/19/2020,0.17%,0.20%,0.16%,0.17%
3/20/2020,0.17%,0.17%,0.12%,0.13%
3/23/2020,0.13%,0.15%,0.08%,0.15%
3/24/2020,0.14%,0.27%,0.14%,0.25%
3/25/2020,0.24%,0.25%,0.18%,0.19%
3/26/2020,0.20%,0.20%,0.12%,0.12%
3/27/2020,0.13%,0.15%,0.10%,0.11%
3/30/2020,0.11%,0.18%,0.11%,0.14%
3/31/2020,0.14%,0.19%,0.13%,0.18%
4/1/2020,0.14%,0.20%,0.14%,0.16%
4/2/2020,0.17%,0.18%,0.11%,0.15%
4/3/2020,0.16%,0.17%,0.12%,0.16%
4/6/2020,0.16%,0.19%,0.14%,0.18%
4/7/2020,0.17%,0.22%,0.16%,0.19%
