Date,Open,High,Low,Close
4/8/2019,2.44%,2.46%,2.43%,2.45%
4/9/2019,2.44%,2.45%,2.43%,2.44%
4/10/2019,2.44%,2.45%,2.41%,2.43%
4/11/2019,2.43%,2.45%,2.41%,2.44%
4/12/2019,2.43%,2.46%,2.43%,2.45%
4/15/2019,2.45%,2.48%,2.44%,2.45%
4/16/2019,2.45%,2.47%,2.43%,2.46%
4/17/2019,2.46%,2.48%,2.45%,2.46%
4/18/2019,2.46%,2.47%,2.45%,2.46%
4/22/2019,2.46%,2.46%,2.46%,2.46%
4/23/2019,2.47%,2.48%,2.44%,2.45%
4/24/2019,2.45%,2.46%,2.42%,2.45%
4/25/2019,2.44%,2.46%,2.42%,2.44%
4/26/2019,2.44%,2.46%,2.42%,2.43%
4/29/2019,2.42%,2.44%,2.40%,2.43%
4/30/2019,2.43%,2.43%,2.39%,2.40%
5/1/2019,2.40%,2.41%,2.37%,2.40%
5/2/2019,2.40%,2.44%,2.40%,2.42%
5/3/2019,2.42%,2.43%,2.40%,2.42%
5/6/2019,2.42%,2.42%,2.39%,2.40%
5/7/2019,2.40%,2.41%,2.38%,2.39%
5/8/2019,2.39%,2.40%,2.38%,2.39%
5/9/2019,2.39%,2.40%,2.37%,2.37%
5/10/2019,2.37%,2.40%,2.37%,2.38%
5/13/2019,2.38%,2.38%,2.33%,2.34%
5/14/2019,2.34%,2.35%,2.33%,2.34%
5/15/2019,2.34%,2.34%,2.31%,2.33%
5/16/2019,2.33%,2.35%,2.32%,2.35%
5/17/2019,2.35%,2.35%,2.32%,2.35%
5/20/2019,2.35%,2.37%,2.33%,2.36%
5/21/2019,2.36%,2.39%,2.35%,2.39%
5/22/2019,2.39%,2.39%,2.36%,2.38%
5/23/2019,2.38%,2.38%,2.32%,2.33%
5/24/2019,2.33%,2.35%,2.32%,2.34%
5/27/2019,2.34%,2.34%,2.34%,2.34%
5/28/2019,2.34%,2.36%,2.32%,2.33%
5/29/2019,2.33%,2.33%,2.30%,2.32%
5/30/2019,2.32%,2.33%,2.30%,2.31%
5/31/2019,2.31%,2.32%,2.22%,2.23%
6/3/2019,2.23%,2.24%,2.13%,2.14%
6/4/2019,2.14%,2.18%,2.13%,2.14%
6/5/2019,2.14%,2.15%,2.04%,2.06%
6/6/2019,2.06%,2.07%,2.02%,2.05%
6/7/2019,2.05%,2.06%,1.98%,1.99%
6/10/2019,1.99%,2.05%,1.98%,2.04%
6/11/2019,2.04%,2.09%,2.04%,2.07%
6/12/2019,2.07%,2.08%,2.04%,2.04%
6/13/2019,2.04%,2.05%,2.02%,2.02%
6/14/2019,2.02%,2.05%,2.00%,2.03%
6/17/2019,2.03%,2.07%,2.02%,2.06%
6/18/2019,2.06%,2.10%,2.03%,2.09%
6/19/2019,2.09%,2.09%,1.95%,1.95%
6/20/2019,1.95%,1.97%,1.89%,1.95%
6/21/2019,1.95%,1.97%,1.93%,1.96%
6/24/2019,1.96%,1.96%,1.93%,1.94%
6/25/2019,1.94%,1.96%,1.92%,1.95%
6/26/2019,1.95%,1.99%,1.94%,1.98%
6/27/2019,1.98%,1.99%,1.95%,1.96%
6/28/2019,1.96%,1.97%,1.92%,1.96%
7/1/2019,1.96%,1.97%,1.94%,1.95%
7/2/2019,1.95%,1.96%,1.92%,1.93%
7/3/2019,1.93%,1.94%,1.92%,1.93%
7/5/2019,1.93%,2.02%,1.93%,1.99%
7/8/2019,1.99%,2.02%,1.94%,2.02%
7/9/2019,2.02%,2.03%,2.00%,2.03%
7/10/2019,2.03%,2.04%,1.95%,1.95%
7/11/2019,1.95%,1.99%,1.94%,1.99%
7/12/2019,1.99%,1.99%,1.97%,1.98%
7/15/2019,1.98%,1.98%,1.96%,1.98%
7/16/2019,1.98%,2.02%,1.97%,2.00%
7/17/2019,2.00%,2.00%,1.85%,1.95%
7/18/2019,1.95%,1.96%,1.89%,1.90%
7/19/2019,1.90%,1.96%,1.90%,1.95%
7/22/2019,1.95%,1.97%,1.94%,1.96%
7/23/2019,1.96%,1.99%,1.95%,1.99%
7/24/2019,1.99%,1.99%,1.97%,1.99%
7/25/2019,1.99%,2.01%,1.97%,2.00%
7/26/2019,2.00%,2.02%,1.98%,2.00%
